# nr pierscienia, promien zewnetrzy, promien wewnetrzny, wysokosc
784, 1, 1, 4
785, 3, 4, 4
786, 5, 4, 2
787, 3, 1, 0
788, 3, 4, 3
789, 2, 4, 4
790, 2, 1, 1
791, 1, 3, 4
792, 4, 2, 3
793, 1, 2, 2
794, 2, 4, 0
795, 3, 3, 4
796, 2, 3, 4
797, 4, 3, 2
798, 5, 4, 3
799, 1, 4, 3
800, 3, 2, 2
801, 5, 0, 0
802, 4, 3, 1
803, 4, 1, 0
804, 3, 4, 2
805, 2, 3, 1
806, 1, 0, 0
807, 5, 4, 2
808, 5, 2, 4
809, 3, 1, 4
810, 3, 0, 3
811, 1, 4, 1
812, 1, 4, 0
813, 3, 0, 2
814, 2, 4, 2
815, 5, 0, 1
816, 1, 2, 4
817, 3, 1, 0
818, 5, 2, 1
819, 4, 1, 4
820, 1, 4, 3
821, 2, 1, 0
822, 2, 0, 0
823, 4, 2, 2
824, 1, 2, 2
825, 1, 0, 4
826, 4, 3, 0
827, 1, 2, 1
828, 3, 4, 3
829, 5, 3, 3
830, 4, 1, 1
831, 2, 3, 3
832, 1, 0, 2
833, 4, 3, 0
834, 2, 3, 2
835, 1, 2, 3
836, 3, 1, 2
837, 1, 0, 2
838, 1, 3, 3
839, 1, 0, 2
840, 3, 2, 4
841, 3, 0, 4
842, 4, 4, 4
843, 2, 3, 3
844, 4, 2, 4
845, 1, 1, 4
846, 2, 1, 1
847, 5, 4, 0
848, 3, 4, 1
849, 3, 0, 3
850, 3, 4, 3
851, 1, 1, 4
852, 3, 4, 2
853, 3, 0, 2
854, 1, 3, 4
855, 1, 2, 2
856, 2, 4, 4
857, 1, 0, 3
858, 4, 1, 1
859, 5, 1, 4
860, 5, 2, 1
861, 1, 2, 1
862, 5, 3, 4
863, 3, 4, 3
864, 3, 2, 1
865, 3, 0, 3
866, 3, 3, 3
867, 2, 0, 2
868, 2, 1, 0
869, 3, 0, 4
870, 3, 3, 4
871, 2, 4, 1
872, 4, 2, 2
873, 5, 3, 1
874, 1, 1, 0
875, 2, 1, 1
876, 4, 4, 0
877, 2, 1, 0
878, 5, 4, 4
879, 2, 3, 2
880, 5, 2, 0
881, 1, 1, 4
882, 3, 3, 1
883, 1, 1, 3
884, 2, 2, 2
885, 2, 0, 2
886, 2, 2, 4
887, 2, 3, 1
888, 1, 1, 3
889, 1, 4, 4
890, 3, 3, 1
891, 5, 4, 4
892, 4, 1, 1
893, 5, 2, 2
894, 4, 2, 0
895, 2, 1, 4
896, 2, 2, 0
897, 2, 3, 1
898, 5, 1, 4
899, 2, 1, 4
900, 1, 0, 4
901, 1, 0, 4
902, 5, 1, 3
903, 2, 4, 4
904, 3, 0, 0
905, 2, 1, 3
906, 1, 2, 4
907, 3, 0, 3
908, 1, 1, 2
909, 3, 2, 3
910, 1, 3, 3
911, 4, 3, 3
912, 5, 1, 1
913, 4, 3, 0
914, 3, 1, 0
915, 1, 4, 3
916, 1, 3, 3
917, 3, 4, 2
918, 5, 3, 4
919, 3, 3, 4
920, 5, 1, 4
921, 1, 1, 2
922, 5, 3, 0
923, 2, 4, 1
924, 2, 4, 0
925, 4, 0, 4
926, 2, 0, 3
927, 3, 1, 4
928, 5, 0, 1
929, 4, 0, 2
930, 4, 4, 4
931, 4, 0, 4
932, 1, 1, 1
933, 4, 4, 3
934, 3, 4, 4
935, 2, 1, 0
936, 5, 1, 2
937, 3, 3, 0
938, 4, 3, 0
939, 2, 4, 0
940, 5, 0, 0
941, 5, 0, 0
942, 1, 4, 0
943, 5, 1, 1
944, 2, 4, 3
945, 1, 4, 1
946, 3, 3, 1
947, 1, 3, 3
948, 1, 4, 0
949, 4, 0, 0
950, 1, 4, 3
951, 1, 0, 3
952, 2, 4, 4
953, 2, 4, 1
954, 3, 2, 2
955, 1, 4, 1
956, 4, 3, 2
957, 4, 4, 4
958, 3, 0, 0
959, 1, 1, 2
960, 4, 4, 0
961, 1, 1, 0
962, 5, 1, 0
963, 5, 2, 1
964, 1, 4, 0
965, 1, 2, 3
966, 4, 0, 3
967, 1, 4, 3
968, 2, 1, 0
969, 3, 0, 0
970, 5, 0, 4
971, 3, 0, 4
972, 5, 0, 2
973, 3, 1, 3
974, 3, 4, 0
975, 4, 3, 1
976, 5, 1, 2
977, 1, 2, 1
978, 3, 1, 3
979, 5, 4, 3
980, 2, 1, 0
981, 5, 4, 0
982, 5, 2, 2
983, 5, 4, 1
984, 5, 3, 2
985, 5, 0, 1
986, 1, 1, 2
987, 3, 4, 2
988, 4, 0, 2
989, 4, 2, 2
990, 4, 4, 1
991, 4, 4, 0
992, 1, 2, 1
993, 3, 2, 0
994, 5, 4, 2
995, 1, 4, 2
996, 5, 4, 0
997, 3, 3, 3
998, 1, 1, 2
999, 1, 2, 3
