# nr pierscienia, promien zewnetrzy, promien wewnetrzny, wysokosc
98, 2, 0, 0
99, 4, 2, 0
100, 3, 1, 1
101, 4, 4, 0
102, 3, 2, 3
103, 1, 1, 0
104, 2, 3, 3
105, 1, 1, 3
106, 5, 4, 1
107, 5, 1, 1
108, 1, 1, 2
109, 1, 2, 1
110, 5, 3, 0
111, 5, 1, 2
112, 1, 3, 2
113, 3, 3, 1
114, 2, 3, 1
115, 5, 1, 3
116, 2, 4, 0
117, 4, 1, 2
118, 2, 1, 4
119, 2, 2, 2
120, 2, 2, 4
121, 3, 4, 1
122, 2, 2, 3
123, 2, 1, 0
124, 1, 1, 1
125, 4, 2, 1
126, 2, 2, 1
127, 1, 2, 4
128, 2, 2, 2
129, 2, 3, 0
130, 1, 2, 0
131, 1, 2, 4
132, 3, 4, 0
133, 5, 2, 2
134, 4, 2, 3
135, 3, 1, 3
136, 5, 4, 4
137, 4, 0, 1
138, 1, 2, 0
139, 4, 4, 0
140, 3, 2, 3
141, 4, 1, 4
142, 4, 0, 3
143, 2, 4, 3
144, 5, 1, 3
145, 3, 0, 3
146, 4, 4, 2
147, 3, 3, 4
148, 2, 1, 0
149, 4, 2, 3
150, 3, 1, 3
151, 2, 2, 4
152, 1, 3, 3
153, 2, 2, 1
154, 1, 0, 0
155, 3, 2, 0
156, 3, 2, 1
157, 4, 2, 3
158, 3, 4, 3
159, 1, 3, 2
160, 3, 0, 0
161, 2, 0, 0
162, 1, 0, 3
163, 2, 2, 3
164, 1, 2, 0
165, 4, 4, 3
166, 5, 0, 4
167, 4, 3, 3
168, 1, 2, 4
169, 5, 4, 3
170, 3, 4, 4
171, 2, 0, 0
172, 4, 2, 0
173, 5, 3, 4
174, 2, 0, 1
175, 2, 2, 4
176, 1, 2, 4
177, 4, 0, 3
178, 1, 4, 0
179, 4, 2, 4
180, 1, 4, 0
181, 2, 4, 4
182, 2, 0, 2
183, 4, 1, 4
184, 1, 1, 4
185, 5, 1, 4
186, 2, 3, 4
187, 3, 3, 4
188, 2, 0, 2
189, 2, 2, 1
190, 2, 4, 0
191, 5, 1, 2
192, 3, 4, 3
193, 4, 4, 1
194, 3, 1, 4
195, 5, 4, 3
196, 2, 1, 4
197, 4, 2, 4
198, 3, 2, 3
199, 1, 3, 3
200, 1, 2, 0
201, 4, 1, 4
202, 3, 1, 4
203, 4, 0, 2
204, 2, 0, 0
205, 3, 3, 4
206, 3, 2, 1
207, 5, 2, 2
208, 4, 0, 3
209, 5, 4, 3
210, 4, 2, 3
211, 3, 4, 4
212, 3, 2, 2
213, 2, 1, 4
214, 4, 0, 4
215, 3, 3, 1
216, 4, 2, 4
217, 1, 0, 1
218, 4, 2, 1
219, 5, 4, 1
220, 1, 4, 2
221, 4, 0, 0
222, 4, 3, 4
223, 1, 3, 4
224, 5, 3, 0
225, 3, 4, 1
226, 2, 3, 1
227, 3, 0, 4
228, 5, 3, 2
229, 4, 2, 1
230, 3, 0, 1
231, 5, 3, 0
232, 2, 3, 3
233, 2, 4, 3
234, 2, 3, 0
235, 2, 3, 0
236, 3, 0, 2
237, 5, 1, 1
238, 1, 2, 1
239, 1, 0, 1
240, 4, 2, 1
241, 4, 3, 0
242, 3, 0, 4
243, 4, 0, 3
244, 3, 1, 1
245, 2, 1, 4
246, 4, 4, 2
247, 5, 3, 1
248, 4, 0, 4
249, 3, 1, 4
250, 2, 4, 2
251, 4, 3, 1
252, 5, 4, 0
253, 2, 2, 3
254, 1, 3, 1
255, 5, 3, 3
256, 2, 2, 4
257, 4, 1, 3
258, 2, 2, 1
259, 5, 4, 2
260, 4, 3, 4
261, 5, 2, 4
262, 1, 2, 0
263, 5, 2, 3
264, 5, 1, 0
265, 3, 2, 2
266, 1, 3, 4
267, 1, 2, 2
268, 1, 2, 4
269, 3, 3, 3
270, 2, 3, 4
271, 1, 4, 4
272, 5, 0, 3
273, 1, 1, 2
274, 5, 2, 3
275, 1, 4, 3
276, 3, 1, 2
277, 1, 4, 2
278, 3, 1, 3
279, 2, 2, 3
280, 5, 3, 2
281, 1, 1, 2
282, 4, 0, 3
283, 1, 3, 4
284, 2, 4, 4
285, 4, 4, 0
286, 3, 1, 4
287, 5, 3, 0
288, 3, 1, 0
289, 2, 3, 1
290, 5, 2, 1
291, 1, 4, 4
292, 3, 0, 2
293, 5, 2, 0
294, 3, 1, 0
295, 1, 3, 2
296, 3, 4, 2
297, 1, 2, 3
298, 2, 3, 2
299, 3, 1, 4
300, 5, 4, 1
301, 1, 0, 4
302, 4, 0, 1
303, 1, 4, 1
304, 2, 3, 1
305, 1, 3, 2
306, 3, 1, 4
307, 3, 2, 0
308, 5, 0, 1
309, 5, 1, 4
310, 3, 3, 3
311, 2, 2, 4
312, 2, 3, 2
313, 1, 3, 0
314, 5, 0, 4
315, 1, 4, 0
316, 3, 4, 0
317, 4, 4, 0
318, 4, 0, 3
319, 2, 4, 1
320, 4, 1, 0
321, 3, 4, 3
322, 5, 3, 4
323, 4, 4, 2
324, 4, 2, 4
325, 1, 0, 2
326, 3, 3, 3
327, 2, 1, 3
328, 5, 0, 4
329, 5, 3, 2
330, 5, 1, 1
331, 3, 4, 3
332, 4, 1, 2
333, 1, 0, 4
334, 4, 0, 4
335, 3, 4, 1
336, 2, 0, 0
337, 4, 0, 4
338, 4, 2, 0
339, 2, 3, 0
340, 2, 2, 3
341, 5, 4, 0
342, 3, 1, 4
343, 3, 2, 2
344, 1, 2, 4
345, 2, 1, 0
346, 2, 0, 2
347, 2, 2, 1
348, 3, 0, 4
349, 1, 4, 4
350, 5, 0, 0
351, 5, 4, 3
352, 3, 4, 4
353, 3, 1, 4
354, 2, 1, 4
355, 2, 4, 1
356, 4, 0, 2
357, 5, 3, 1
358, 4, 3, 2
359, 3, 1, 1
360, 3, 0, 4
361, 1, 2, 4
362, 1, 0, 4
363, 1, 0, 3
364, 4, 4, 2
365, 5, 2, 3
366, 2, 2, 2
367, 3, 3, 3
368, 2, 3, 3
369, 4, 1, 0
370, 3, 1, 0
371, 2, 0, 1
372, 2, 0, 1
373, 5, 4, 2
374, 3, 2, 0
375, 5, 2, 4
376, 4, 4, 3
377, 2, 3, 1
378, 5, 1, 0
379, 5, 4, 4
380, 1, 2, 3
381, 2, 3, 2
382, 3, 3, 4
383, 3, 4, 3
384, 1, 4, 1
385, 1, 3, 2
386, 3, 3, 0
387, 1, 0, 0
388, 2, 3, 3
389, 2, 0, 1
390, 2, 3, 0
391, 3, 0, 2
392, 3, 0, 3
393, 4, 0, 2
394, 5, 3, 1
395, 1, 2, 4
396, 1, 0, 1
397, 1, 0, 4
398, 5, 1, 1
399, 2, 3, 1
400, 4, 2, 4
401, 2, 3, 2
402, 2, 0, 1
403, 5, 3, 3
404, 5, 2, 1
405, 2, 4, 4
406, 4, 2, 0
407, 2, 2, 2
408, 5, 2, 1
409, 4, 2, 1
410, 5, 1, 0
411, 1, 3, 2
412, 5, 2, 1
413, 4, 2, 1
414, 2, 2, 3
415, 3, 1, 1
416, 5, 3, 0
417, 5, 2, 2
418, 4, 4, 1
419, 5, 2, 3
420, 5, 1, 3
421, 4, 3, 0
422, 3, 0, 0
423, 5, 1, 4
424, 5, 2, 2
425, 1, 2, 1
426, 5, 0, 2
427, 2, 4, 1
428, 1, 2, 2
429, 2, 4, 1
430, 5, 4, 1
431, 1, 0, 2
432, 4, 2, 4
433, 5, 0, 0
434, 5, 0, 3
435, 3, 4, 3
436, 3, 3, 0
437, 2, 4, 0
438, 3, 4, 1
439, 1, 2, 2
440, 5, 2, 2
441, 4, 3, 1
442, 1, 1, 1
443, 1, 1, 2
444, 3, 4, 3
445, 4, 3, 4
446, 4, 4, 3
447, 3, 3, 2
448, 4, 1, 4
449, 4, 1, 3
450, 1, 2, 2
451, 3, 0, 3
452, 1, 2, 2
453, 1, 0, 4
454, 2, 2, 0
455, 1, 2, 1
456, 1, 4, 2
457, 5, 0, 0
458, 3, 3, 4
459, 1, 4, 3
460, 3, 2, 2
461, 5, 4, 2
462, 5, 1, 3
463, 4, 1, 2
464, 3, 4, 4
465, 4, 1, 1
466, 3, 0, 2
467, 3, 4, 1
468, 3, 4, 3
469, 4, 0, 2
470, 4, 4, 0
471, 3, 3, 0
472, 3, 0, 1
473, 1, 2, 3
474, 4, 3, 2
475, 4, 1, 2
476, 3, 4, 2
477, 5, 3, 4
478, 4, 4, 1
479, 5, 1, 1
480, 1, 4, 4
481, 1, 4, 2
482, 3, 0, 1
483, 3, 4, 3
484, 2, 1, 4
485, 1, 1, 4
486, 5, 4, 0
487, 4, 0, 2
488, 2, 4, 4
489, 2, 4, 2
490, 4, 1, 2
491, 1, 1, 4
492, 3, 4, 3
493, 4, 4, 3
494, 5, 2, 3
495, 1, 2, 1
496, 3, 3, 0
497, 5, 1, 0
498, 2, 0, 0
499, 4, 2, 3
