# nr pierscienia, promien zewnetrzy, promien wewnetrzny, wysokosc
419, 1, 0, 3
420, 1, 3, 1
421, 1, 4, 3
422, 2, 1, 3
423, 3, 1, 4
424, 2, 4, 0
425, 1, 0, 0
426, 5, 3, 2
427, 4, 0, 3
428, 4, 2, 1
429, 2, 2, 2
430, 1, 2, 2
431, 5, 1, 0
432, 5, 1, 2
433, 2, 2, 0
434, 4, 2, 0
435, 4, 2, 2
436, 3, 4, 2
437, 4, 0, 3
438, 5, 3, 4
439, 2, 2, 0
440, 1, 4, 1
441, 5, 0, 0
442, 4, 2, 1
443, 3, 2, 2
444, 1, 1, 0
445, 3, 2, 0
446, 2, 0, 1
447, 4, 0, 2
448, 5, 1, 3
449, 2, 4, 4
450, 5, 2, 4
451, 4, 4, 4
452, 1, 3, 2
453, 3, 0, 4
454, 4, 1, 0
455, 2, 1, 3
456, 4, 1, 4
457, 4, 2, 4
458, 5, 2, 2
459, 1, 0, 0
460, 3, 3, 4
461, 3, 1, 3
462, 1, 0, 0
463, 2, 2, 0
464, 5, 3, 3
465, 2, 3, 2
466, 3, 4, 4
467, 3, 3, 0
468, 2, 3, 4
469, 3, 3, 3
470, 2, 4, 3
471, 1, 0, 1
472, 4, 4, 2
473, 4, 3, 0
474, 2, 1, 4
475, 1, 3, 1
476, 5, 4, 2
477, 5, 4, 1
478, 4, 3, 3
479, 3, 0, 3
480, 5, 0, 4
481, 1, 4, 4
482, 4, 1, 4
483, 2, 1, 4
484, 2, 2, 0
485, 2, 4, 4
486, 3, 4, 0
487, 1, 1, 0
488, 1, 0, 0
489, 4, 1, 0
490, 2, 4, 2
491, 2, 3, 1
492, 1, 3, 0
493, 4, 3, 0
494, 1, 4, 4
495, 2, 3, 4
496, 2, 2, 3
497, 3, 0, 4
498, 5, 0, 0
499, 2, 4, 1
500, 2, 3, 4
501, 3, 3, 2
502, 4, 2, 4
503, 2, 2, 0
504, 4, 0, 4
505, 1, 3, 3
506, 5, 4, 3
507, 4, 1, 0
508, 3, 1, 3
509, 4, 0, 0
510, 3, 4, 0
511, 1, 3, 0
512, 1, 2, 3
513, 2, 2, 3
514, 5, 2, 3
515, 3, 4, 3
516, 2, 2, 0
517, 4, 2, 2
518, 2, 4, 0
519, 2, 2, 4
520, 1, 0, 3
521, 1, 2, 3
522, 3, 3, 1
523, 4, 4, 3
524, 1, 0, 3
525, 1, 1, 3
526, 2, 0, 2
527, 1, 3, 0
528, 1, 3, 4
529, 5, 3, 4
530, 5, 0, 0
531, 2, 3, 4
532, 5, 2, 4
533, 1, 3, 0
534, 1, 1, 4
535, 3, 2, 1
536, 2, 3, 0
537, 1, 3, 0
538, 2, 0, 1
539, 1, 1, 1
540, 1, 3, 0
541, 1, 2, 0
542, 2, 4, 2
543, 5, 3, 4
544, 2, 1, 2
545, 3, 3, 4
546, 3, 0, 3
547, 2, 3, 4
548, 3, 0, 1
549, 2, 1, 0
550, 3, 2, 4
551, 3, 3, 2
552, 1, 1, 3
553, 3, 3, 2
554, 3, 1, 1
555, 3, 1, 4
556, 4, 3, 3
557, 4, 0, 0
558, 3, 2, 0
559, 3, 4, 2
560, 4, 0, 1
561, 4, 0, 3
562, 3, 1, 4
563, 4, 3, 4
564, 1, 0, 3
565, 2, 2, 3
566, 5, 2, 4
567, 3, 3, 0
568, 5, 0, 4
569, 5, 0, 2
570, 3, 4, 2
571, 1, 0, 4
572, 3, 3, 3
573, 1, 1, 4
574, 3, 3, 1
575, 2, 1, 2
576, 1, 0, 0
577, 3, 0, 1
578, 3, 4, 2
579, 4, 4, 4
580, 2, 2, 0
581, 5, 2, 1
582, 1, 4, 0
583, 3, 0, 3
584, 2, 0, 2
585, 2, 3, 0
586, 2, 1, 0
587, 1, 3, 0
588, 4, 3, 0
589, 4, 3, 1
590, 5, 4, 0
591, 5, 4, 1
592, 5, 0, 1
593, 4, 2, 1
594, 3, 1, 2
595, 4, 1, 2
596, 4, 3, 2
597, 2, 3, 4
598, 5, 1, 0
599, 4, 1, 1
600, 3, 0, 3
601, 1, 2, 1
602, 2, 2, 0
603, 3, 3, 3
604, 1, 2, 1
605, 3, 0, 2
606, 1, 2, 4
607, 5, 1, 0
608, 3, 0, 2
609, 3, 2, 3
610, 1, 0, 1
611, 4, 4, 4
612, 5, 1, 4
613, 3, 4, 3
614, 2, 4, 0
615, 3, 4, 2
616, 2, 3, 0
617, 3, 2, 2
618, 5, 0, 2
619, 2, 4, 0
620, 2, 2, 1
621, 2, 4, 0
622, 4, 0, 4
623, 5, 1, 0
624, 1, 3, 0
625, 3, 3, 4
626, 3, 4, 2
627, 3, 2, 2
628, 5, 2, 2
629, 2, 2, 2
630, 1, 0, 4
631, 5, 2, 0
632, 2, 1, 0
633, 1, 1, 3
634, 4, 0, 4
635, 1, 0, 4
636, 4, 2, 2
637, 3, 2, 2
638, 3, 1, 3
639, 5, 1, 2
640, 5, 2, 4
641, 4, 2, 3
642, 5, 0, 4
643, 3, 3, 2
644, 3, 0, 0
645, 5, 2, 3
646, 3, 4, 3
647, 2, 4, 4
648, 5, 2, 2
649, 4, 4, 4
650, 5, 1, 0
651, 1, 3, 4
652, 4, 1, 1
653, 1, 2, 4
654, 2, 0, 1
655, 1, 4, 1
656, 5, 2, 1
657, 4, 4, 0
658, 2, 0, 4
659, 1, 0, 3
660, 4, 3, 2
661, 5, 1, 3
662, 4, 0, 1
663, 2, 1, 3
664, 5, 1, 0
665, 1, 1, 4
666, 2, 3, 0
667, 2, 2, 0
668, 4, 2, 0
669, 1, 1, 0
670, 5, 1, 3
671, 3, 2, 2
672, 3, 3, 4
673, 2, 1, 2
674, 5, 0, 4
675, 2, 1, 0
676, 5, 0, 4
677, 5, 4, 3
678, 5, 4, 0
679, 5, 3, 2
680, 2, 4, 0
681, 5, 1, 2
682, 3, 2, 2
683, 3, 4, 3
684, 4, 2, 3
685, 4, 2, 4
686, 5, 0, 0
687, 1, 3, 4
688, 2, 3, 0
689, 2, 0, 1
690, 4, 2, 4
691, 5, 1, 4
692, 3, 1, 1
693, 5, 4, 1
694, 2, 0, 0
695, 5, 3, 3
696, 4, 3, 3
697, 3, 2, 1
698, 5, 3, 4
699, 3, 3, 2
700, 5, 3, 4
701, 5, 4, 3
702, 4, 1, 3
703, 2, 0, 0
704, 1, 3, 2
705, 4, 4, 2
706, 4, 1, 0
707, 2, 1, 1
708, 2, 3, 1
709, 2, 3, 3
710, 3, 2, 1
711, 4, 4, 1
712, 3, 1, 3
713, 1, 3, 4
714, 3, 3, 2
715, 4, 4, 2
716, 4, 1, 3
717, 4, 0, 3
718, 2, 0, 4
719, 1, 1, 4
720, 4, 3, 0
721, 2, 3, 3
722, 4, 0, 1
723, 4, 1, 3
724, 4, 1, 2
725, 5, 2, 0
726, 2, 4, 2
727, 3, 1, 2
728, 5, 2, 0
729, 3, 4, 3
730, 4, 2, 1
731, 2, 1, 2
732, 2, 1, 1
733, 1, 1, 3
734, 3, 4, 3
735, 5, 4, 3
736, 5, 4, 4
737, 5, 3, 3
738, 4, 2, 1
739, 4, 2, 0
740, 1, 0, 3
741, 4, 0, 2
742, 1, 1, 4
743, 2, 1, 0
744, 3, 2, 2
745, 3, 0, 4
746, 2, 3, 0
747, 4, 1, 0
748, 5, 4, 0
749, 4, 0, 4
750, 1, 3, 2
751, 3, 2, 3
752, 4, 1, 1
753, 3, 3, 0
754, 5, 3, 3
755, 4, 3, 4
756, 4, 1, 0
757, 3, 4, 2
758, 2, 0, 2
759, 5, 4, 3
760, 4, 3, 4
761, 5, 2, 1
762, 4, 2, 1
763, 1, 1, 3
764, 5, 1, 3
765, 5, 0, 3
766, 4, 2, 3
767, 5, 2, 0
768, 4, 3, 3
769, 5, 1, 0
770, 3, 2, 4
771, 3, 1, 0
772, 5, 4, 2
773, 4, 4, 1
774, 4, 2, 0
775, 2, 3, 2
776, 2, 1, 3
777, 3, 2, 1
778, 4, 2, 2
779, 4, 2, 2
780, 3, 0, 4
781, 5, 3, 1
782, 2, 1, 2
783, 4, 2, 0
784, 1, 4, 4
785, 1, 3, 0
786, 4, 4, 2
787, 4, 0, 4
788, 1, 4, 4
789, 2, 4, 4
790, 1, 1, 0
791, 3, 2, 3
792, 3, 3, 1
793, 2, 0, 3
794, 1, 0, 4
795, 3, 3, 0
796, 4, 0, 0
797, 4, 2, 1
798, 1, 2, 0
799, 4, 3, 0
800, 1, 3, 0
801, 1, 0, 2
802, 5, 0, 0
803, 1, 1, 1
804, 5, 1, 2
805, 2, 1, 3
806, 4, 3, 4
807, 2, 3, 1
808, 5, 1, 1
809, 5, 4, 1
810, 3, 3, 4
811, 5, 0, 4
812, 3, 4, 0
813, 4, 4, 1
814, 3, 3, 4
815, 4, 1, 0
816, 5, 3, 4
817, 4, 4, 3
818, 3, 2, 1
819, 3, 2, 0
820, 1, 2, 3
821, 2, 0, 4
822, 2, 3, 1
823, 2, 4, 3
824, 4, 3, 0
825, 1, 3, 0
826, 2, 0, 0
827, 3, 3, 3
828, 4, 0, 0
829, 2, 2, 2
830, 1, 1, 0
831, 4, 3, 1
832, 2, 3, 4
833, 4, 3, 3
834, 2, 3, 1
835, 3, 3, 1
836, 1, 4, 1
837, 5, 4, 3
838, 4, 4, 3
839, 2, 1, 2
840, 4, 4, 1
841, 4, 1, 4
842, 2, 4, 4
843, 2, 4, 3
844, 1, 0, 4
845, 3, 1, 1
846, 5, 4, 4
847, 1, 2, 0
848, 5, 4, 2
849, 4, 0, 0
850, 4, 4, 1
851, 1, 4, 0
852, 1, 0, 2
853, 1, 2, 2
854, 5, 3, 4
855, 4, 1, 0
856, 5, 2, 1
857, 1, 0, 0
858, 5, 2, 1
859, 3, 1, 1
860, 4, 4, 1
861, 4, 0, 0
862, 1, 3, 3
863, 5, 1, 0
864, 3, 2, 2
865, 5, 4, 0
866, 1, 0, 1
867, 1, 2, 1
868, 4, 0, 0
869, 5, 3, 3
870, 2, 1, 3
871, 3, 3, 3
872, 4, 1, 3
873, 2, 2, 1
874, 5, 0, 3
875, 3, 2, 3
876, 3, 2, 0
877, 1, 2, 1
878, 2, 3, 2
879, 4, 1, 1
880, 4, 3, 3
881, 1, 4, 0
882, 3, 3, 2
883, 4, 1, 3
884, 1, 3, 0
885, 2, 2, 2
886, 2, 0, 1
887, 5, 4, 4
888, 5, 1, 1
889, 4, 2, 4
890, 4, 1, 1
891, 1, 4, 4
892, 5, 4, 1
893, 4, 3, 2
894, 5, 0, 4
895, 5, 4, 2
896, 1, 0, 4
897, 2, 3, 0
898, 5, 4, 3
899, 2, 1, 2
900, 3, 1, 4
901, 3, 3, 2
902, 5, 0, 2
903, 1, 4, 0
904, 4, 4, 2
905, 2, 4, 1
906, 1, 1, 4
907, 1, 0, 2
908, 1, 0, 1
909, 2, 3, 4
910, 3, 3, 1
911, 5, 0, 1
912, 4, 2, 1
913, 1, 0, 2
914, 5, 2, 2
915, 5, 4, 0
916, 1, 4, 1
917, 4, 3, 1
918, 3, 2, 1
919, 4, 0, 0
920, 3, 3, 4
921, 2, 0, 0
922, 2, 3, 4
923, 5, 2, 4
924, 1, 0, 4
925, 3, 4, 1
926, 3, 1, 2
927, 4, 0, 4
928, 4, 0, 2
929, 5, 1, 2
930, 4, 1, 1
931, 1, 1, 4
932, 1, 3, 0
933, 4, 4, 1
934, 2, 1, 1
935, 3, 3, 0
936, 3, 1, 1
937, 5, 4, 1
938, 2, 3, 3
939, 1, 2, 0
940, 3, 1, 0
941, 3, 3, 0
942, 1, 3, 3
943, 1, 2, 4
944, 3, 4, 3
945, 3, 1, 1
946, 1, 1, 1
947, 4, 0, 2
948, 4, 2, 1
949, 1, 3, 1
950, 1, 3, 3
951, 2, 1, 3
952, 3, 4, 2
953, 5, 0, 3
954, 3, 3, 0
955, 3, 0, 4
956, 4, 1, 4
957, 1, 0, 3
958, 3, 2, 2
959, 5, 0, 3
960, 4, 1, 1
961, 5, 0, 3
962, 3, 2, 0
963, 4, 4, 3
964, 2, 1, 3
965, 1, 1, 4
966, 5, 1, 3
967, 5, 0, 3
968, 5, 4, 4
969, 5, 4, 2
970, 3, 4, 4
971, 5, 3, 3
972, 3, 4, 2
973, 1, 0, 1
974, 2, 2, 3
975, 1, 4, 2
976, 1, 1, 4
977, 5, 4, 0
978, 1, 1, 3
979, 1, 3, 0
980, 4, 3, 4
981, 2, 1, 0
982, 5, 3, 2
983, 4, 1, 4
984, 5, 2, 3
985, 4, 2, 0
986, 3, 3, 1
987, 2, 2, 0
988, 3, 2, 3
989, 1, 1, 1
990, 3, 1, 2
991, 1, 3, 4
992, 4, 0, 0
993, 2, 3, 4
994, 1, 0, 4
995, 1, 1, 2
996, 5, 1, 4
997, 5, 2, 3
998, 1, 1, 2
999, 4, 3, 3
